"AI Engineer Skill Assessment  - Mar 4, 2025 - 1:05:49 PM",,,,,
,,,,,
,,,,,
Your overall results,Low,'10/35',,,
Azure AI Fundamentals,Low,'0/4',,,
Designing and Implementing a Microsoft Azure AI Solution,Moderate,'10/31',,,
,,,,,
,,,,,
,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
Azure AI Fundamentals,,https://learn.microsoft.com,High,,,0,,N,
Azure AI Fundamentals,Microsoft Azure AI Fundamentals: Computer Vision,https://learn.microsoft.com/en-us/training/paths/explore-computer-vision-microsoft-azure/,High,,,0,,N,
Azure AI Fundamentals,Microsoft Azure AI Fundamentals: Natural Language Processing,https://learn.microsoft.com/en-us/training/paths/explore-natural-language-processing/,High,,,0,,N,
Azure AI Fundamentals,Microsoft Azure AI Fundamentals: Document Intelligence and Knowledge Mining,https://learn.microsoft.com/en-us/training/paths/document-intelligence-knowledge-mining/,High,,,0,,N,
Azure AI Fundamentals,Microsoft Azure AI Fundamentals: Generative AI,https://learn.microsoft.com/en-us/training/paths/introduction-generative-ai/,High,,,0,,N,
Designing and Implementing a Microsoft Azure AI Solution,,https://learn.microsoft.com,High,,,0,,N,
Designing and Implementing a Microsoft Azure AI Solution,Get started with Azure AI Services,https://learn.microsoft.com/en-us/training/paths/get-started-azure-ai/,High,,,0,,N,
Designing and Implementing a Microsoft Azure AI Solution,Develop decision support solutions with Azure AI Services,https://learn.microsoft.com/en-us/training/paths/develop-decision-support/,High,,,0,,N,
Designing and Implementing a Microsoft Azure AI Solution,Create computer vision solutions with Azure AI Vision,https://learn.microsoft.com/en-us/training/paths/create-computer-vision-solutions-azure-ai/,High,,,0,,N,
Designing and Implementing a Microsoft Azure AI Solution,Develop natural language processing solutions with Azure AI Services,https://learn.microsoft.com/en-us/training/paths/develop-language-solutions-azure-ai/,High,,,0,,N,
Designing and Implementing a Microsoft Azure AI Solution,Implement knowledge mining with Azure Cognitive Search,https://learn.microsoft.com/en-us/training/paths/implement-knowledge-mining-azure-cognitive-search/,High,,,0,,N,
Designing and Implementing a Microsoft Azure AI Solution,Develop solutions with Azure AI Document Intelligence,https://learn.microsoft.com/en-us/training/paths/extract-data-from-forms-document-intelligence/,High,,,0,,N,
Designing and Implementing a Microsoft Azure AI Solution,Develop Generative AI solutions with Azure OpenAI Service,https://learn.microsoft.com/en-us/training/paths/develop-ai-solutions-azure-openai/,High,,,0,,N,
-----------,,,,,
,,,,,
Category,Question,Answers,Selected Answer,Note
Azure AI Fundamentals,"Fundamental AI Concepts ",Azure Machine Learning,,,
Azure AI Fundamentals,"Fundamental AI Concepts ",Azure AI Bot Service,Azure AI Bot Service,,
Azure AI Fundamentals,"Fundamental AI Concepts ",Azure AI Language,,,
Azure AI Fundamentals,"Fundamentals of machine learning ",Regression,,,
Azure AI Fundamentals,"Fundamentals of machine learning ",Classification,,,
Azure AI Fundamentals,"Fundamentals of machine learning ",Clustering,,,
Azure AI Fundamentals,"Fundamentals of Azure AI services ",A multi-service resource that includes all the AI services,,,
Azure AI Fundamentals,"Fundamentals of Azure AI services ",A single-service resource for each AI service,,,
Azure AI Fundamentals,"Fundamentals of Azure AI services ",It's not possible to see costs for individual AI services,,,
Azure AI Fundamentals,"Fundamentals of Computer Vision ",Timestamps in photograph metadata,,,
Azure AI Fundamentals,"Fundamentals of Computer Vision ",Pixels,,,
Azure AI Fundamentals,"Fundamentals of Computer Vision ",Image file names,,,
Azure AI Fundamentals,"Fundamentals of Facial Recognition ","A pair of coordinates for each face, indicating the center of the face",,,
Azure AI Fundamentals,"Fundamentals of Facial Recognition ","Two pairs of coordinates for each face, indicating the location of the eyes",,,
Azure AI Fundamentals,"Fundamentals of Facial Recognition ","A set of coordinates for each face, defining a rectangular bounding box around the face",,,
Azure AI Fundamentals,"Fundamentals of optical character recognition ",Azure AI Vision,,,
Azure AI Fundamentals,"Fundamentals of optical character recognition ",Azure AI services,,,
Azure AI Fundamentals,"Fundamentals of optical character recognition ",Azure AI Language,,,
Azure AI Fundamentals,"Fundamentals of Text Analysis with the Language Service ",Sentiment analysis,,,
Azure AI Fundamentals,"Fundamentals of Text Analysis with the Language Service ",Key phrase extraction,,,
Azure AI Fundamentals,"Fundamentals of Text Analysis with the Language Service ",Entity detection,,,
Azure AI Fundamentals,"Fundamentals of question answering with the Language Service ","""Create an empty knowledge base, and then manually copy and paste the FAQ entries into it.","""Create an empty knowledge base, and then manually copy and paste the FAQ entries into it.",,
Azure AI Fundamentals,"Fundamentals of question answering with the Language Service ",Import the existing FAQ document into a new knowledge base.,,,
Azure AI Fundamentals,"Fundamentals of question answering with the Language Service ",Import a pre-defined chit-chat data source.,,,
Azure AI Fundamentals,"Fundamentals of conversational language understanding ",Azure AI Speech,,,
Azure AI Fundamentals,"Fundamentals of conversational language understanding ",Azure AI Language,,,
Azure AI Fundamentals,"Fundamentals of conversational language understanding ",Azure AI services,,,
Azure AI Fundamentals,"Fundamentals of Azure AI Speech ",Speech,,,
